name,ring,quadrant,isNew,description
Four key metrics,Adopt,Techniques,FALSE,N/A
Platform engineering product teams,Adopt,Techniques,FALSE,N/A
Zero trust architecture,Adopt,Techniques,FALSE,N/A
CBOR/JSON bilingual protocols,Trial,Techniques,TRUE,N/A
Data mesh,Trial,Techniques,FALSE,
Living documentation in legacy systems,Trial,Techniques,TRUE,
Micro frontends for mobile,Trial,Techniques,FALSE,
Remote mob programming,Trial,Techniques,FALSE,
Single team remote wall,Trial,Techniques,TRUE,
Team cognitive load,Trial,Techniques,FALSE,
AR spatial anchors,Assess,Techniques,TRUE,
Hotwire,Assess,Techniques,FALSE,
Operator pattern for nonclustered resources,Assess,Techniques,TRUE,
Remote spontaneous huddling,Assess,Techniques,TRUE,
Software Bill of Materials,Assess,Techniques,TRUE,
Peer review equals pull request,Hold,Techniques,FALSE,
Production data in test environments,Hold,Techniques,TRUE,
Backstage,Trial,Platforms,FALSE,
ClickHouse,Trial,Platforms,TRUE,
Confluent Kafka REST Proxy,Trial,Platforms,TRUE,
GitHub Actions,Trial,Platforms,FALSE,
K3s,Trial,Platforms,FALSE,
Mambu,Trial,Platforms,TRUE,
MirrorMaker 2.0,Trial,Platforms,TRUE,
OPA Gatekeeper for Kubernetes,Trial,Platforms,TRUE,
Pulumi,Trial,Platforms,FALSE,
Sealed Secrets,Trial,Platforms,TRUE,
Vercel,Trial,Platforms,TRUE,
Weights & Biases,Trial,Platforms,TRUE,
Azure Cognitive Search,Assess,Platforms,TRUE,
Babashka,Assess,Platforms,TRUE,
ExternalDNS,Assess,Platforms,TRUE,
Konga,Assess,Platforms,TRUE,
Milvus 2.0,Assess,Platforms,TRUE,
Thought Machine Vault,Assess,Platforms,TRUE,
XTDB,Assess,Platforms,FALSE,
fastlane,Adopt,Tools,FALSE,
Airflow,Trial,Tools,FALSE,
Batect,Trial,Tools,FALSE,
Berglas,Trial,Tools,TRUE,
Contrast Security,Trial,Tools,TRUE,
Dive,Trial,Tools,TRUE,
Lens,Trial,Tools,FALSE,
Nx,Trial,Tools,TRUE,
Wav2Vec 2.0,Trial,Tools,TRUE,
cert-manager,Assess,Tools,TRUE,
Cloud Carbon Footprint,Assess,Tools,TRUE,
Code With Me,Assess,Tools,TRUE,
Comby,Assess,Tools,TRUE,
Conftest,Assess,Tools,TRUE,
Cosign,Assess,Tools,TRUE,
Crossplane,Assess,Tools,TRUE,
gopass,Assess,Tools,FALSE,
Micoo,Assess,Tools,TRUE,
mob,Assess,Tools,TRUE,
Modern Unix commands,Assess,Tools,TRUE,
Mozilla Sops,Assess,Tools,TRUE,
Operator Framework,Assess,Tools,FALSE,
Pactflow,Assess,Tools,TRUE,
Prefect,Assess,Tools,TRUE,
Proxyman,Assess,Tools,TRUE,
Regula,Assess,Tools,TRUE,
Sourcegraph,Assess,Tools,TRUE,
Telepresence,Assess,Tools,TRUE,
Vite,Assess,Tools,TRUE,
Jetpack Compose,Adopt,languages-and-frameworks,TRUE,
React Hooks,Adopt,languages-and-frameworks,FALSE,
Arium,Trial,languages-and-frameworks,TRUE,
Chakra UI,Trial,languages-and-frameworks,TRUE,
DoWhy,Trial,languages-and-frameworks,TRUE,
Gatsby.js,Trial,languages-and-frameworks,FALSE,
Jetpack Hilt,Trial,languages-and-frameworks,TRUE,
Kotlin Multiplatform Mobile,Trial,languages-and-frameworks,FALSE,
lifelines,Trial,languages-and-frameworks,TRUE,
Mock Service Worker,Trial,languages-and-frameworks,FALSE,
NgRx,Trial,languages-and-frameworks,TRUE,
pydantic,Trial,languages-and-frameworks,TRUE,
Quarkus,Trial,languages-and-frameworks,FALSE,
React Native Reanimated 2.0,Trial,languages-and-frameworks,TRUE,
React Query,Trial,languages-and-frameworks,TRUE,
Tailwind CSS,Trial,languages-and-frameworks,FALSE,
TensorFlow Lite,Trial,languages-and-frameworks,FALSE,
Three.js,Trial,languages-and-frameworks,FALSE,
ViewInspector,Trial,languages-and-frameworks,TRUE,
Vowpal Wabbit,Trial,languages-and-frameworks,TRUE,
Zap,Trial,languages-and-frameworks,TRUE,
Headless UI,Assess,languages-and-frameworks,TRUE,
InsightFace,Assess,languages-and-frameworks,TRUE,
Kats,Assess,languages-and-frameworks,TRUE,
ksqlDB,Assess,languages-and-frameworks,TRUE,
Polars,Assess,languages-and-frameworks,TRUE,
PyTorch Geometric,Assess,languages-and-frameworks,TRUE,
Qiankun,Assess,languages-and-frameworks,TRUE,
React Three Fiber,Assess,languages-and-frameworks,TRUE,
Tauri,Assess,languages-and-frameworks,TRUE,
Transloco,Assess,languages-and-frameworks,TRUE,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
